Big Coal,,,,,,,,
FOUR CORNERS,South,1900,5.83,3.00,17.50,1.50,0.55,8000
ALAMITOS 7,South,250,11.11,4.50,50.00,1.50,0.59,0
HUNTINGTON BEACH 1&2,South,300,6.00,4.50,27.00,1.50,0.32,2000
HUNTINGTON BEACH 5,South,150,10.00,4.50,45.00,1.50,0.53,2000
REDONDO 5&6,South,350,6.22,4.50,28.00,1.50,0.33,3000
REDONDO 7&8,South,950,6.22,4.50,28.00,1.50,0.33,5000
Big Gas,,,,,,,,
EL SEGUNDO 1&2,South,400,6.67,4.50,30.00,1.50,0.35,1000
EL SEGUNDO 3&4,South,650,6.11,4.50,27.50,1.50,0.32,1000
LONG BEACH,South,550,8.00,4.50,36.00,0.50,0.42,2000
NORTH ISLAND,South,150,10.00,4.50,45.00,0.50,0.53,0
ENCINA,South,950,6.33,4.50,28.50,0.50,0.34,2000
KEARNY,South,200,13.78,4.50,62.00,0.50,0.73,0
SOUTH BAY,South,700,6.67,4.50,30.00,0.50,0.35,2000
Bay Views,,,,,,,,
MORRO BAY 1&2,North,335,5.89,4.50,26.50,0.50,0.31,2000
MORRO BAY 3&4,North,665,5.56,4.50,25.00,0.50,0.29,4000
MOSS LANDING 6,North,750,4.78,4.50,21.50,1.50,0.25,8000
MOSS LANDING 7,North,750,4.78,4.50,21.50,1.50,0.25,8000
OAKLAND,North,150,9.33,4.50,42.00,0.50,0.50,0
Beachfront,,,,,,,,
COOLWATER,South,650,6.44,4.50,29.00,0.50,0.34,2000
ETIWANDA 1-4,South,850,6.33,4.50,28.50,1.50,0.34,8000
ETIWANDA 5,South,150,9.44,4.50,42.50,1.50,0.50,1000
ELLWOOD,South,300,11.56,4.50,52.00,0.50,0.61,0
MANDALAY 1&2,South,300,5.78,4.50,26.00,1.50,0.31,1000
MANDALAY 3,South,150,7.78,4.50,35.00,1.50,0.41,1000
ORMOND BEACH 1,South,700,5.78,4.50,26.00,0.50,0.31,7000
ORMOND BEACH 2,South,700,5.78,4.50,26.00,0.50,0.31,7000
East Bay,,,,,,,,
PITTSBURGH 1-4,North,650,6.22,4.50,28.00,0.50,0.33,2500
PITTSBURGH 5&6,North,650,5.56,4.50,25.00,0.50,0.29,2500
PITTSBURGH 7,North,700,9.11,4.50,41.00,0.50,0.48,4000
CONTRA COSTA 4&5,North,150,8.89,4.50,40.00,0.50,0.47,1000
CONTRA COSTA 6&7,North,700,6.00,4.50,27.00,0.50,0.32,6000
POTRERO HILL,North,150,10.67,4.50,48.00,0.50,0.57,0
Old Timers,,,,,,,,
BIG CREEK,South,1000,N/A,0.00,0.00,0.00,0.00,15000
MOHAVE 1,South,750,5.00,3.00,15.00,4.50,0.47,15000
MOHAVE 2,South,750,5.00,3.00,15.00,4.50,0.47,15000
HIGHGROVE,South,150,7.56,4.50,34.00,0.50,0.40,0
SAN BERNADINO,South,100,8.22,4.50,37.00,0.50,0.44,0
Fossil Light,,,,,,,,
HUMBOLDT,North,150,7.22,4.50,32.50,0.50,0.38,0
HELMS,North,800,N/A,0.00,0.00,0.50,0.00,15000
HUNTERS POINT 1&2,North,150,7.33,4.50,33.00,1.50,0.39,1000
HUNTERS POINT 4,North,250,11.44,4.50,51.50,1.50,0.61,1000
DIABLO CANYON 1,North,1000,1.00,7.50,7.50,4.00,0.00,20000
